testCase,size,startTime,endTime,runtime
statechartTest,2250,1698111608438,1698111629100,20662
statechartTest,2500,1698111629117,1698111653480,24363
statechartTest,2750,1698111653497,1698111682673,29176
statechartTest,3000,1698111682689,1698111715341,32652
statechartTest,3250,1698111715356,1698111753170,37814
statechartTest,3500,1698111753185,1698111796810,43625
statechartTest,3750,1698111796825,1698111843003,46178
statechartTest,4000,1698111843018,1698111896793,53775
statechartTest,4250,1698111896809,1698111954121,57312
ecoreTest,1500,1698112279528,1698112310992,31464
ecoreTest,1750,1698112311007,1698112349204,38197
ecoreTest,2000,1698112410514,1698112465455,54941
famTest,8500,1698112914652,1698112936105,21453
famTest,8750,1698112936121,1698112958168,22047
famTest,9000,1698112958183,1698112981039,22856
famTest,9250,1698112981055,1698113004745,23690
famTest,9500,1698113004760,1698113030143,25383
famTest,9750,1698113030158,1698113056773,26615
famTest,10000,1698113056788,1698113083413,26625
famTest,10250,1698113083428,1698113112281,28853
famTest,10500,1698113112296,1698113141132,28836
famTest,10750,1698113141147,1698113172492,31345
famTest,11000,1698113172508,1698113204701,32193
famTest,11250,1698113204716,1698113240333,35617
famTest,11500,1698113240349,1698113275216,34867
famTest,11750,1698113275232,1698113310705,35473
famTest,12000,1698113310720,1698113347888,37168
famTest,12250,1698113347904,1698113386177,38273
famTest,12500,1698113386193,1698113426690,40497
famTest,12750,1698113426706,1698113468760,42054
famTest,13000,1698113468777,1698113511339,42562
famTest,13250,1698113511355,1698113556373,45018
famTest,13500,1698113556388,1698113601250,44862
famTest,13750,1698113601266,1698113648632,47366
famTest,14000,1698113648647,1698113697153,48506
famTest,14250,1698113697170,1698113747992,50822
famTest,14500,1698113748009,1698113799154,51145
famTest,14750,1698113799172,1698113852816,53644
famTest,15000,1698113852833,1698113908153,55320
famTest,15250,1698113908170,1698113963694,55524
famTest,15500,1698113963710,1698114020586,56876
famTest,15750,1698114264998,1698114323672,58674
filesystemTest,10500,1698114631963,1698114652529,20566
filesystemTest,10750,1698114652546,1698114674530,21984
filesystemTest,11000,1698114674546,1698114697030,22484
filesystemTest,11250,1698114697046,1698114720183,23137
filesystemTest,11500,1698114720198,1698114744400,24202
filesystemTest,11750,1698114744416,1698114770344,25928
filesystemTest,12000,1698114770360,1698114796515,26155
filesystemTest,12250,1698114796530,1698114823382,26852
filesystemTest,12500,1698114823398,1698114850905,27507
filesystemTest,12750,1698114850920,1698114879358,28438
filesystemTest,13000,1698114879374,1698114908881,29507
filesystemTest,13250,1698114908897,1698114939327,30430
filesystemTest,13500,1698114939342,1698114971207,31865
filesystemTest,13750,1698114971223,1698115004058,32835
filesystemTest,14000,1698115004074,1698115037683,33609
filesystemTest,14250,1698115037699,1698115073119,35420
filesystemTest,14500,1698115073135,1698115109389,36254
filesystemTest,14750,1698115109405,1698115146630,37225
filesystemTest,15000,1698115146645,1698115183729,37084
filesystemTest,15250,1698115183746,1698115221700,37954
filesystemTest,15500,1698115221716,1698115261228,39512
filesystemTest,15750,1698115261243,1698115300546,39303
filesystemTest,16000,1698115300562,1698115343227,42665
filesystemTest,16250,1698115343242,1698115385712,42470
filesystemTest,16500,1698115385728,1698115429553,43825
filesystemTest,16750,1698115429569,1698115477632,48063
filesystemTest,17000,1698115477648,1698115524547,46899
filesystemTest,17250,1698115524563,1698115572007,47444
filesystemTest,17500,1698115572023,1698115620673,48650
filesystemTest,17750,1698115620689,1698115670460,49771
filesystemTest,18000,1698115670476,1698115721408,50932
filesystemTest,18250,1698115721425,1698115776298,54873
filesystemTest,18500,1698115776315,1698115830636,54321
filesystemTest,18750,1698115830652,1698115887188,56536
filesystemTest,19000,1698115887204,1698115942548,55344
filesystemTest,19250,1698115942565,1698116000068,57503
filesystemTest,19500,1698116000085,1698116058690,58605
filesystemTest,19750,1698116058706,1698116117007,58301
socialNetworkTest,190,1698116422753,1698116447757,25004
socialNetworkTest,200,1698116447772,1698116479080,31308
socialNetworkTest,210,1698116479095,1698116519351,40256
socialNetworkTest,220,1698116519366,1698116569712,50346
socialNetworkTest,230,1698116632604,1698116690739,58135
