testCase,size,startTime,endTime,runtime
famTest,500,1698103862566,1698103863086,520
famTest,1000,1698103863102,1698103864174,1072
famTest,1500,1698103864188,1698103865836,1648
famTest,2000,1698103865849,1698103868203,2354
famTest,2500,1698103868216,1698103871490,3274
famTest,3000,1698103871505,1698103875653,4148
famTest,3500,1698103875667,1698103880701,5034
famTest,4000,1698103880715,1698103886724,6009
famTest,4500,1698103886738,1698103894189,7451
famTest,5000,1698103894203,1698103902866,8663
famTest,5500,1698103902880,1698103912949,10069
famTest,6000,1698103912962,1698103924159,11197
famTest,6500,1698103924173,1698103937461,13288
famTest,7000,1698103937476,1698103952305,14829
famTest,7500,1698103952319,1698103969112,16793
famTest,8000,1698103969126,1698103987733,18607
famTest,8500,1698103987747,1698104008692,20945
famTest,8500,1698104008707,1698104029716,21009
famTest,8500,1698104029731,1698104050525,20794
