testCase,size,startTime,endTime,runtime
filesystemTest,500,1698096738082,1698096738248,166
filesystemTest,1000,1698096738265,1698096738622,357
filesystemTest,1500,1698096738638,1698096739291,653
filesystemTest,2000,1698096739303,1698096740372,1069
filesystemTest,2500,1698096740388,1698096741996,1608
filesystemTest,3000,1698096742008,1698096743661,1653
filesystemTest,3500,1698096743678,1698096747368,3690
filesystemTest,4000,1698096747381,1698096749988,2607
filesystemTest,4500,1698096750000,1698096754039,4039
filesystemTest,5000,1698096754052,1698096757915,3863
filesystemTest,5500,1698096757928,1698096763341,5413
filesystemTest,6000,1698096763354,1698096769526,6172
filesystemTest,6500,1698096769538,1698096776474,6936
filesystemTest,7000,1698096776488,1698096785347,8859
filesystemTest,7500,1698096785359,1698096796622,11263
filesystemTest,8000,1698096796636,1698096809746,13110
filesystemTest,8500,1698096809760,1698096824848,15088
filesystemTest,9000,1698096824861,1698096841519,16658
filesystemTest,9500,1698096841532,1698096858852,17320
filesystemTest,10000,1698096858864,1698096877242,18378
filesystemTest,10500,1698096877254,1698096897658,20404
filesystemTest,10500,1698096897671,1698096917900,20229
filesystemTest,10500,1698096917912,1698096938317,20405
filesystemTest,10500,1698096938330,1698096958642,20312
filesystemTest,10500,1698096958655,1698096979463,20808
