testCase,size,startTime,endTime,runtime
socialNetworkTest,10,1698097895838,1698097895885,47
socialNetworkTest,20,1698097895904,1698097895970,66
socialNetworkTest,30,1698097895988,1698097896082,94
socialNetworkTest,40,1698097896098,1698097896285,187
socialNetworkTest,50,1698097896298,1698097896599,301
socialNetworkTest,60,1698097896611,1698097897212,601
socialNetworkTest,70,1698097897225,1698097898108,883
socialNetworkTest,80,1698097898121,1698097899477,1356
socialNetworkTest,90,1698097899489,1698097901134,1645
socialNetworkTest,100,1698097901147,1698097903266,2119
socialNetworkTest,110,1698097903278,1698097906174,2896
socialNetworkTest,120,1698097906187,1698097910424,4237
socialNetworkTest,130,1698097910437,1698097915929,5492
socialNetworkTest,140,1698097915943,1698097923308,7365
socialNetworkTest,150,1698097923321,1698097931796,8475
socialNetworkTest,160,1698097931811,1698097943312,11501
socialNetworkTest,170,1698097943325,1698097959454,16129
socialNetworkTest,180,1698097959468,1698097978333,18865
socialNetworkTest,190,1698097978348,1698098007255,28907
socialNetworkTest,190,1698098007268,1698098034163,26895
socialNetworkTest,190,1698098034176,1698098063408,29232
socialNetworkTest,190,1698098063421,1698098092564,29143
socialNetworkTest,190,1698098092584,1698098119485,26901
