name,size,filename,timeout,generate-up,runs
TB1,10,fase-trainbenchmark-10.problem,1,false,10
TB1,10,fase-trainbenchmark-10.problem,1,true,10
TB1,15,fase-trainbenchmark-15.problem,1,false,10
TB1,15,fase-trainbenchmark-15.problem,1,true,10
TB1,20,fase-trainbenchmark-20.problem,1,false,10
TB1,20,fase-trainbenchmark-20.problem,1,true,10
TB1,25,fase-trainbenchmark-25.problem,1,false,10
TB1,25,fase-trainbenchmark-25.problem,1,true,10
TB1,30,fase-trainbenchmark-30.problem,1,false,10
TB1,30,fase-trainbenchmark-30.problem,1,true,10
TB2,10,fase-trainbenchmark-simple-10.problem,1,false,10
TB2,10,fase-trainbenchmark-simple-10.problem,1,true,10
TB2,15,fase-trainbenchmark-simple-15.problem,1,false,10
TB2,15,fase-trainbenchmark-simple-15.problem,1,true,10
TB2,20,fase-trainbenchmark-simple-20.problem,1,false,10
TB2,20,fase-trainbenchmark-simple-20.problem,1,true,10
TB2,25,fase-trainbenchmark-simple-25.problem,1,false,10
TB2,25,fase-trainbenchmark-simple-25.problem,1,true,10
TB2,30,fase-trainbenchmark-simple-30.problem,1,false,10
TB2,30,fase-trainbenchmark-simple-30.problem,1,true,10
TB3,10,simplified-trainbenchmark-10.problem,1,false,10
TB3,10,simplified-trainbenchmark-10.problem,1,true,10
TB3,15,simplified-trainbenchmark-15.problem,1,false,10
TB3,15,simplified-trainbenchmark-15.problem,1,true,10
TB3,20,simplified-trainbenchmark-20.problem,1,false,10
TB3,20,simplified-trainbenchmark-20.problem,1,true,10
TB3,25,simplified-trainbenchmark-25.problem,1,false,10
TB3,25,simplified-trainbenchmark-25.problem,1,true,10
TB3,30,simplified-trainbenchmark-30.problem,1,false,10
TB3,30,simplified-trainbenchmark-30.problem,1,true,10
SC1,100,torrent-100.problem,1,false,10
SC1,100,torrent-100.problem,1,true,10
SC1,150,torrent-150.problem,1,false,10
SC1,150,torrent-150.problem,1,true,10
SC1,200,torrent-200.problem,1,false,10
SC1,200,torrent-200.problem,1,true,10
SC1,250,torrent-250.problem,1,false,10
SC1,250,torrent-250.problem,1,true,10
SC1,300,torrent-300.problem,1,false,10
SC1,300,torrent-300.problem,1,true,10
SC2,100,yakindu-100.problem,1,false,10
SC2,100,yakindu-100.problem,1,true,10
SC2,150,yakindu-150.problem,1,false,10
SC2,150,yakindu-150.problem,1,true,10
SC2,200,yakindu-200.problem,1,false,10
SC2,200,yakindu-200.problem,1,true,10
SC2,250,yakindu-250.problem,1,false,10
SC2,250,yakindu-250.problem,1,true,10
SC2,300,yakindu-300.problem,1,false,10
SC2,300,yakindu-300.problem,1,true,10
